,ROA,NetIncome,CFV12Q,ERVol12Q,DER,lnTA,CR,Hedge,ERVolM3M,ERVolM12M
ROA,1.0,0.997357305797486,0.1277272150990105,0.16789992844562457,-0.1782925470315493,0.14180920645255515,0.02787409378296726,0.14231015439751082,0.12827436194343797,0.012478158837924087
NetIncome,0.997357305797486,1.0,0.14798590203294754,0.1848200232007448,-0.17925285714830202,0.10930232711017841,0.036243619660439076,0.15825335349139696,0.13972770982242266,0.02524134165486862
CFV12Q,0.1277272150990105,0.14798590203294754,1.0,-0.075912010951366,-0.545028669990502,-0.6123520186430411,0.34648660277853033,0.6579204820100811,0.0820310315888322,0.12028603900329518
ERVol12Q,0.16789992844562457,0.1848200232007448,-0.075912010951366,1.0,0.22716869872783424,0.16148772997813546,0.2756842175372136,0.16885777464424398,0.2020257038683963,0.3881734773520126
DER,-0.1782925470315493,-0.17925285714830202,-0.545028669990502,0.22716869872783424,1.0,-0.12022915288812956,-0.36218911236379325,-0.6072348380661761,0.28319909938365273,0.23370429435616777
lnTA,0.14180920645255515,0.10930232711017841,-0.6123520186430411,0.16148772997813546,-0.12022915288812956,1.0,0.02992966389215735,-0.14065159240976027,-0.12956713480162577,-0.1796027158077436
CR,0.02787409378296726,0.036243619660439076,0.34648660277853033,0.2756842175372136,-0.36218911236379325,0.02992966389215735,1.0,0.3448255955570078,0.12591873011217755,0.1805423616671801
Hedge,0.14231015439751082,0.15825335349139696,0.6579204820100811,0.16885777464424398,-0.6072348380661761,-0.14065159240976027,0.3448255955570078,1.0,-0.011506350354371801,0.06691861194905203
ERVolM3M,0.12827436194343797,0.13972770982242266,0.0820310315888322,0.2020257038683963,0.28319909938365273,-0.12956713480162577,0.12591873011217755,-0.011506350354371801,1.0,0.5825840103326008
ERVolM12M,0.012478158837924087,0.02524134165486862,0.12028603900329518,0.3881734773520126,0.23370429435616777,-0.1796027158077436,0.1805423616671801,0.06691861194905203,0.5825840103326008,1.0
